Tiktoker name,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
ayutingting,5.8M,2.4M,176.4K,2.1K,2.1K
yailinlamasviraloficial_,2.8M,2.5M,210K,3K,365
sehataqua,249.3K,23.3M,67.4K,647,467
jordanemel,8.7M,2.4M,183.6K,1K,3K
gingerbilly1,5.7M,1.1M,163.7K,954,8.7K
samkamusic,12.4M,1.8M,227.9K,2.7K,1.5K
jaxwritessongs,8.3M,1.9M,220.1K,2.8K,1.5K
sthefane.matos,5.1M,3.2M,261.7K,1.4K,603
son0_0,3.9M,216.8K,1.5K,514,
flickerspark_,1.2M,1.7M,446.7K,1.2K,1.1K
kostyxd,2.1M,2.1M,290.9K,1.7K,1.1K
mahalinzi,655.5K,2.7M,251.9K,1.6K,917
jesusangelperezoficial,3.5M,1.7M,186.5K,898,4.6K
tarankaaa,8M,1.7M,283.4K,2.4K,1K
its.michhh,28.6M,2.2M,340.4K,1.9K,369
aileenchristineee,5.6M,1.7M,310K,1.1K,2.1K
mads.yo,12.7M,3.1M,322.9K,954,710
itstalasafwan,3.7M,2.1M,138.2K,5.2K,502
karenos11,6.1M,2M,367.2K,2K,242
jojohfsex,1.6M,1.4M,262.1K,2.7K,1.8K
nansartt,1.3M,2.1M,422.7K,1.4K,456
aviranisha,3.6M,2.5M,310.6K,1.8K,344
03emergenxy,432.5K,3.4M,215.9K,1.7K,561
nuun____,271.8K,651.6K,118.1K,1.5K,20K
iloveyourmomscatt,8.2K,1.3M,159.3K,4.9K,3.3K
thongsoaicavip,1.6M,2.7M,172K,2.6K,971
ivanantoniochacon,7.2M,1.3M,461.6K,1.9K,806
jhekhoos,3.8M,1.9M,235.9K,1.3K,2.4K
kimpeeee,5.8M,3.4M,298.5K,507,1.1K
birdsarentreal,852.8K,1.5M,263.5K,2.4K,1.8K
markoterzo,2.5M,1.8M,168.7K,4.2K,1.2K
nnatalieaguilar,4.2M,2.8M,373.6K,702,845
halinhofficial,1M,2.6M,187.3K,2.8K,604
sosiadoneymar,6M,2.5M,179.9K,1.8K,1.8K
saadradio,1.7M,3.4M,260.2K,1.2K,670
leleburnier,1.4M,1.4M,326K,2.7K,958
thelandofboggs,5.2M,2.6M,367.7K,857,829
yuna1_27,2.2M,1.6M,291K,1.4K,2K
abaas_majid_,2M,2.1M,206.9K,2.2K,1.5K
muhammetalisarii,264.1K,2.9M,128.4K,1.4K,3K
theluciole,955K,1.7M,395.2K,2K,428
dafaatmja,9.9M,2M,162.6K,4.1K,856
pushistyk,13.3K,1.9M,272.2K,1.6K,1.6K
juliano,6.7M,2.1M,306.7K,1.6K,851
nicholas_crown,1.6M,2.9M,490.5K,863,262
oipedrodaher,3.1M,1.1M,206.6K,1.8K,5.1K
jimena.jimenezr,22.8M,1.7M,311.7K,1K,2K
mellacarli,1.7M,1.4M,220.5K,2.1K,3K
viktoriya__bars,139.7K,1.3M,56.6K,2.2K,19.4K
missmarymmouser,2.9M,1.9M,255.5K,2.7K,570
coleandersonj,1.5M,1.6M,280.5K,1.2K,2.3K
pumbacaracal,3.5M,2.1M,130.9K,3.3K,2.6K
the_green_car,168.8K,4.3M,339.8K,662,417
providingforthecommunity,313.6K,1.6M,114.6K,5.5K,3.4K
hannahstocking,25.9M,3M,338.4K,967,582
pk.99999,1.2M,1.5M,288.2K,1.7K,1.9K
lilchefmil,861.1K,3M,501.1K,678,367
jeremylynch,18.6M,1.7M,248K,2.6K,1.2K
ph1lzatiktok,2.2M,980.5K,309.2K,4K,1.1K
jack_papho69,2.8M,344.1K,766,862,
cesarpantoja.n,12.4M,2M,305.4K,2.2K,317
yajanaaa,5M,1.5M,255.3K,767,3.3K
dilaraaduman,1.9M,3.4M,175.8K,653,2K
justinbieber,23.6M,1.7M,197.5K,3.2K,1.4K
lukedonkin,2.3M,1.5M,199K,2.9K,2.3K
alexxxxan,1.7M,1.7M,307.5K,831,2.1K
monsieurpof,2.8M,1.7M,340.6K,1.8K,938
dennnyn,3.3M,1M,136.4K,773,10.5K
lauratheux,208.3K,3.5M,234.7K,846,1K
com.hyuga1117,995.5K,1.2M,199.8K,4.9K,1.5K
robegrill,10.2M,1.9M,209.5K,1.1K,2.7K
emoglam,1.5M,2.7M,307.3K,1K,806
luvtheflex,1.4M,1.9M,156.9K,3.8K,1.3K
jombospice,7.2M,2.5M,239.8K,1.9K,617
rusuh_brooo,27.5K,840.6K,150.8K,1.5K,10.4K
shandyjuragan99,1.1M,3M,183.5K,1.9K,869
pjmxck,738.7K,263.2K,2.7K,5K,
kamashrafi,48.2K,1.2M,231.6K,2.6K,2.8K
najihmumtaz,682.3K,1.6M,93.9K,4.5K,5.5K
chelseahartisme,1.5M,3.5M,138.9K,0,3.1K
gheayoubi08,7.9M,3.2M,171.1K,1.2K,1.6K
annaxsitar,11.6M,3M,461.2K,723,381
y.i.m_,177.5K,1.4M,121.3K,1.2K,7.7K
matsu_kusarine,563.9K,2.9M,186.4K,1.8K,1K
beinsports,1.2M,1.7M,213.8K,2.2K,1.9K
_mister_z,4.5M,1.6M,272.2K,2.4K,995
.shuberrr,5.8K,2M,152.7K,2.1K,2.8K
maharanikemala,3.2M,2.5M,156.2K,1.8K,2K
analisseworld,9.9M,2.1M,328.9K,967,1.2K
jairsanchezzz,6.2M,1.3M,226.9K,1.8K,3.5K
machikayt,12M,1.9M,291.1K,2.2K,558
michaelrendyw,4.6M,3.9M,293.6K,740,558
dobretwins,35.2M,1.8M,221.4K,3.3K,498
swagboyq,23.4M,3M,216.6K,1.4K,858
xoomid,8.2K,1.1M,135.3K,4.2K,5.7K
_nch04,4.8M,2.5M,209.1K,1.4K,1.4K
davidgalvanv,3.9M,2.6M,244.2K,1.5K,807
usernamepuntaktahu,587.7K,2.2M,293.3K,1.7K,595
primkung007,2.1M,1.4M,259.9K,3.5K,575
isabelgiannuzzi,1.1M,3.5M,298.1K,1.2K,187
baileyspinn,11.1M,2.3M,296.1K,2K,137
summerwalker,1.6M,1.1M,199.2K,3.3K,3.3K
huynh_quang_6767,457.6K,2.1M,185.6K,3.4K,337
bs_fo4eek,36.9K,1.9M,158.8K,2.6K,2.1K
carloandsarah,3.3M,2.4M,188.4K,1.2K,1.9K
nadaakkhaledd,2.7M,2.1M,275.9K,1.3K,1.1K
ups,92.6K,1.2M,136.7K,2.2K,6.3K
ninja,8.3M,2.3M,216.2K,1.6K,1.4K
attahalilintar,10.1M,2.6M,288.9K,1.3K,661
nam.per,1.6M,2.5M,225K,1.5K,987
leal_stephany,13.1M,1.7M,351.2K,738,1.6K
lucaslopezvilet,2.4M,1.3M,191.4K,1.3K,4.5K
vlad.hoshin,11.4M,1.1M,250.8K,4.1K,1K
kauanahofem,7M,1.8M,262.9K,1.8K,1.2K
xolyssarosexo,60.1K,1.6M,92.6K,8.7K,1.1K
joe.bartolozzi,17.8M,1.5M,296.7K,2.8K,376
maxkhadarr,1.3M,1.1M,197.6K,3K,3.4K
jacksonaces,6.2M,1.5M,93K,3K,6.9K
ninjagirldraws,3.6M,1.7M,147.1K,2K,3.5K
trien.13,491.4K,1.3M,177.1K,3.9K,2.1K
connordewolfe,5.3M,1.1M,276K,1.5K,3K
loupernaut,1.3M,2.4M,280.7K,1.8K,198
bxyeditss,419.4K,1.1M,202.5K,2.8K,3.4K
totochegang,1.4M,1.4M,275.4K,1.4K,2.3K
luciiasanese,30.1K,1.2M,186.9K,2.7K,3.6K
nickandcarrie,5.6M,1.9M,290.5K,1K,1.5K
juanchimy,2.7M,1.4M,325.1K,1.7K,1.3K
bene.schulz,5.7M,2M,254.6K,1.6K,1.1K
com.amugiri2,712.3K,1.3M,200.1K,3.8K,1.4K
goldwin.reyes,1.5M,2.5M,335.3K,964,659
lulu_pt,299.6K,1.9M,223.9K,921,2.2K
itskingchris,15.3M,1.4M,258.6K,2.2K,1.7K
fahmi.nm,7.6M,2.2M,237.4K,1.8K,748
farhanrn__,3.8M,1.7M,281.9K,1.8K,1K
liltjay,4.4M,1.8M,221.2K,2.7K,775
vilmeijuga,1.7M,169.2K,3.5K,1.1K,
faryanggaa,4.4M,1.7M,272.2K,1.9K,1K
gordeewa__13,9.5M,2.6M,214.5K,1.8K,604
fadiljaidi,7.5M,2.5M,351.6K,967,543
darianrojasc,29.4M,3.1M,445K,575,385
ibaillanos,8.9M,1.5M,260.5K,1.3K,2K
tsezy,4.8M,2M,253.5K,1.9K,735
linhkool1993,4.5M,3.3M,330.3K,954,256
rayanfahmi,3.2M,2.2M,192K,2.1K,1.1K
unnecessaryinventions,4.6M,2.2M,194.6K,2K,1.1K
basementgang,5M,1.4M,275.2K,1.4K,2.1K
bessan_esmail,10.1M,1.8M,132.1K,4.2K,1.4K
com.yuma1214,812.7K,1.3M,188.3K,3.9K,1.4K
anggun_core,3.6M,178K,1.3K,697,
xibibrothers,7.6M,1.8M,246.5K,888,2K
moni_lina,14.5M,7.7M,128.1K,367,942
avani,40.4M,1.8M,237.6K,2.1K,874
haijoel,409.5K,2.8M,167.7K,2.5K,279
samanthayve,5.8M,1.3M,205.4K,3.4K,1.4K
hoaa.hanassii,10.8M,1.6M,255.3K,2.4K,695
ryanbakery,1.1M,1.6M,171.3K,2.4K,2.4K
djprecise,3.4M,1.7M,186.4K,3.1K,897
jeffreestar,2.2M,2.1M,208.4K,2K,872
christiandaloii_,2.9M,1.5M,197.4K,2.5K,1.9K
abdullah_eltourky,6.7M,2M,235.7K,1.2K,1.4K
oironyoliveira,5.9M,1.3M,87.3K,490,10.9K
lana_mohd89,4.4M,2.1M,161.7K,2.4K,1.2K
lyrico__,2.9M,1.1M,105.6K,1.1K,10.1K
beasteater,18M,2.7M,248.4K,1.7K,208
nick.digiovanni,8.6M,2.1M,295.3K,1.2K,778
milosramen,1.3M,2.2M,272.9K,1.4K,665
steveharvey,9.2M,1.8M,176.8K,1.7K,2.4K
ngoanhtan1,777.6K,1.6M,153.1K,2.7K,2.4K
gemelasabello2,13.2M,2.6M,293.2K,693,950
creatorar,624.1K,1.7M,141.3K,733,4.4K
vanrezaputra,320.1K,1.9M,163.3K,2.3K,1.8K
bestluxurycars,3K,769.5K,136.9K,1.4K,10.2K
johaanzu,3.6M,1.7M,320.2K,1.6K,716
nelyrall,4.6M,1.1M,214.5K,1.9K,3.5K
leigh_mcnasty,2.8M,1M,157K,1.3K,6.1K
xo4y_remont56,82.9K,2.7M,67.4K,589,6K
sofarsabi,5.5M,2.1M,208.4K,2.2K,584
cerolzera,4.1M,1.7M,180.4K,2.7K,1.3K
animalize21,10.3M,2M,248.1K,1.4K,1K
itspierreboo,12.5M,1.9M,278.3K,1.6K,753
lorengray,54.3M,1.8M,248.4K,1.5K,1.2K
football.tonight,391.5K,2M,152.2K,2.3K,1.6K
danielmidas,281.8K,1.4M,119.1K,1.6K,5.5K
laila_mahmoud62,3M,3.4M,204.7K,772,931
quintongriggs,6.4M,1.4M,169.8K,3.3K,1.7K
erictro,2.2M,3.7M,358.8K,453,438
doongool,3.1M,2.2M,255K,1.1K,1K
madozilla,5.7M,888.9K,194.4K,3.9K,2.9K
anxietycouple,10.7M,2.6M,274.9K,765,886
nildachiaraviglio,798.9K,1.3M,117.9K,723,7K
haccon.01,325.1K,1.9M,157.8K,3.6K,314
fukada0318,2M,150.8K,2.6K,1.3K,
ahmedbasyoni,1.2M,1.7M,125.9K,2.4K,3K
sinadeinert,5.5M,967.7K,207.5K,4.6K,1.2K
austinandlexi,3.2M,1.3M,253.3K,1.5K,2K
jayrscottyy,2.3M,900.6K,173.1K,3.7K,3.7K
manja_faiez,593.1K,1.5M,128K,2.2K,3.8K
moontellthat,13.1M,2.3M,156.9K,1.7K,1.6K
baraa.bolat,1.6M,2.3M,143.9K,2.5K,959
yurika_aruno,2.8M,1.3M,209.9K,2.9K,1.3K
360tv,9.9M,2M,162K,3K,461
its.__yara,749.5K,1.1M,65.4K,7.3K,8.6K
ava_love33,2.7M,1.5M,299.5K,2.1K,471
mohaimen.alaa,2.9M,1.2M,190.4K,3.5K,1.5K
officialsalicerose,18.6M,1.1M,201.3K,1.8K,3.4K
hisoyvaleria,2.7M,354.7K,803,380,
saaihalilintar,4.3M,3M,272.4K,893,492
pierson,12.5M,2M,287K,1.7K,306
mursid241,2.2M,2.4M,179.1K,2.3K,416
stayc_official,1.3M,1.6M,181.1K,2.9K,1K
liamsilk,6.9M,890.6K,249.6K,2.6K,2.5K
deangerald,382K,1.3M,193.9K,607,3.8K
polya_tuti,2.3M,3.1M,250.6K,711,730
trevorwallace,7.3M,1.5M,208.7K,759,2.8K
jarvali,2.2M,1.2M,251.7K,2.1K,1.6K
gertieinar,2.5M,4M,162.3K,904,835
_angelomarasigan,484K,1.4M,206.7K,2.1K,1.8K
lupinelakes,81.4K,1.9M,376.2K,781,811
jauncydev,1.5M,1.1M,172K,1.3K,4.6K
ivoryowl,1.1M,1.4M,238K,1.8K,1.5K
joshrichards,25.6M,2.2M,297.8K,991,691
haga7_dayo,1.7M,2.8M,120.9K,914,2.3K
itsmenicksmithy2,9.8M,1.6M,217K,1.9K,1.4K
so_andreyy,541.1K,2.2M,111.8K,537,4K
la.maraaa,6.1M,959.7K,213.9K,5.1K,277
paulorgds,375.9K,1.4M,224.9K,1.3K,2.2K
murphslife,4.7M,1.5M,173.4K,1.4K,2.8K
okthatscreepy,366.8K,3.1M,144.3K,1.2K,1.3K
dylanpage.ning,2.5M,1.2M,196.9K,2.8K,1.9K
fabiola.baglieri,11.6M,2.4M,288.7K,1.3K,294
tnt_500,24.1K,1.7M,236.5K,1.2K,1.6K
rawanfahmii,3.4M,1.8M,189.7K,1.7K,1.5K
bigcheese8581,1.3M,187.3K,581,4K,
demin02_,1M,1.4M,223.4K,1.9K,1.6K
charlyokei,3.7M,2.4M,300.1K,914,583
pollyjaewebster,158.4K,1.6M,188.8K,2.2K,1.4K
leventgeiger,3.1M,1.2M,165.5K,2.6K,2.9K
floofnoodles,17M,1.3M,154K,1.8K,3.8K
stwartabdala,538.8K,932.6K,79.2K,905,13.6K
com.yuta0305,1M,949.1K,179.7K,4.3K,2K
kxmzzzy,370.1K,2M,218.3K,999,1.4K
faulox_,6.8M,1.7M,172.4K,2.7K,1K
yourrkayesss,4.8M,1.1M,169K,3.2K,2.8K
oliviaalpert,52.7K,2.6M,139.1K,1.9K,996
brodywellmaker,20.3M,1.8M,229.8K,1.3K,1.3K
ranierao,18.1K,929.9K,251.6K,2.6K,1.9K
antrobo10,545K,850.4K,128.1K,2.3K,7.2K
therealmaneskin,5.4M,1.1M,214K,2.9K,1.5K
gustavomeloof,4.6M,1.2M,86.8K,1.3K,8.6K
samsamne0,709.4K,2.1M,187.7K,1.8K,893
bassant33,4.5M,2.7M,162.2K,1.6K,793
aichangemoy_,6.6M,1.7M,191.2K,2.5K,680
jaytorresss,3.8M,1.8M,242.7K,844,1.6K
xvusex,21.1K,951.6K,199.1K,1.3K,4.1K
sibenitoo,4.7M,2.2M,140K,1.7K,1.7K
jumpersjump,6.4M,2.1M,220.1K,1.7K,486
williesalim,8.3M,1.9M,148.2K,2.9K,713
itsari.aleise,11.8M,1.7M,322.8K,1.6K,359
arilbjn,51.3K,1.3M,221.9K,955,2.7K
camxnie,3.2M,1.4M,173.9K,544,3.7K
cristobalsoria,572K,1.2M,120.2K,4.4K,2.7K
japeth023,557.9K,1.5M,194.2K,1.6K,1.9K
venao2323,4.2M,1.5M,166.6K,1K,3K
kuki_yt,1.8M,1.5M,315.7K,1.3K,774
ozikoy,6.9M,2.2M,186.4K,1.2K,1.3K
swaghoe666,1.4M,2.1M,306.5K,1.1K,501
robsonabreu,3.2M,1.4M,82K,8.3K,470
juliagisella,10.2M,784.4K,186.9K,3.1K,3.7K
andreslleal,2.8M,1.7M,91.6K,3.7K,2.9K
gabryellurlan,6.8M,1.4M,221.9K,1.2K,2.1K
kagramanana,6.2M,1.2M,184.1K,1K,3.5K
yizaroff,4M,1.4M,225.1K,2.6K,611
adamw,15.7M,1.8M,179.5K,1.1K,1.9K
xoteam,32.1M,2.1M,222.9K,1.6K,481
saydenseay,3.3M,938.9K,257.3K,1.6K,2.5K
justthenobodys,7.1M,1.4M,175.8K,2.2K,1.8K
snerixx,8M,1.9M,369.2K,1K,361
valenrewah,7.5M,2.4M,272.6K,929,605
cheekyboyos,10.9M,1.8M,252.8K,1.3K,867
cokodive,188.5K,871.1K,172.5K,2.8K,3.7K
_tusya_kiskis,6.7M,1.4M,161.2K,1.5K,2.8K
danaandthewolf,187.3K,2.5M,252.5K,824,712
pakoyaso_,9.5M,1.8M,216.1K,1.2K,1.4K
zhenyalavrik,364.5K,3.2M,69.4K,1.8K,2.6K
teukuryantr,3.1M,1.7M,236.8K,1.3K,1.1K
jamescharles,36.1M,1.7M,191.6K,2.2K,752
zhenyalavrik,364.5K,3.2M,69.4K,1.8K,2.6K
teukuryantr,3.1M,1.7M,236.8K,1.3K,1.1K
jamescharles,36.1M,1.7M,191.6K,2.2K,752
cardncyn,1.5M,2.5M,271.1K,791,623
mariahandbill,2.7M,217.8K,1.2K,462,
jamal.jamael,2.6M,1.4M,203.4K,2.4K,991
nastasyashinee,4.9M,2.5M,154.5K,1.6K,880
riska_nurwidia,2.6M,2.5M,276.8K,623,755
ermo1enko,1.7M,1.7M,326.3K,870,849
mackenzieziegler,22.1M,2.1M,325.5K,1K,380
yarenalaca,5.4M,1.6M,119.2K,4.6K,513
gabrielvalland,958.2K,1.1M,257.9K,1.7K,1.7K
judiitharias,3.1M,302K,763,249,
adamrayokay,6.8M,1.9M,217.6K,1.7K,629
ethob0t,534.2K,2.4M,203.1K,1.3K,668
soylapizito,13.3M,2.1M,277.2K,1.2K,442
fadeewa_makeup,760.2K,1.3M,113.2K,1.7K,4.6K
rosssmith,21.8M,1.4M,263.3K,814,1.7K
bentleybuilds,72K,3.1M,77.6K,826,3.1K
edwinmendozza,14.2M,1.8M,393.6K,1K,349
cocielo,4.3M,1.3M,204.6K,1.5K,2K
riqqo_,66K,2.9M,170.3K,1.5K,361
lgndfrvr,15.8M,1.9M,241.3K,670,1.3K
jajad5,630.8K,982.4K,263.8K,2.1K,1.5K
cocinaconcoqui,2M,1.4M,278.3K,628,1.7K
rucenuenda1,1.1M,1.6M,280.9K,1.5K,589
thaotaotau,5.1M,2.5M,267.9K,1.2K,237
brycehall,21.3M,2.4M,283.2K,901,476
just_dt,8.9M,1.1M,198.6K,1.8K,2.5K
seleterr,27.1K,1.5M,180.5K,807,2.5K
teamsport_philipp,23.2K,957.2K,140.4K,2.1K,4.6K
arananadam38,175.1K,2M,60K,967,6.6K
mngnzls,13M,2.6M,191.1K,1.5K,310
niico_pr,1.1M,1.4M,197.7K,1.9K,1.3K
keemokazi,26M,2.1M,256K,1.4K,293
vivi,10.3M,1.7M,224.7K,2K,412
german_crusader,99K,902.5K,149K,1.6K,5.1K
whitehernandez,112.6K,1.4M,229.7K,1.4K,1.4K
shyazryne,86.2K,2.9M,316K,595,373
rozhkova.olesya,850K,1.5M,197.2K,964,2.1K
mosqvin_,2.6M,1.9M,348.5K,714,637
sepultacion,6.4M,1.3M,301.4K,1.9K,404
kaansanity,4.9M,1.1M,86.4K,569,8.8K
dizzlipin,909.6K,1.9M,79.9K,5.5K,356
aldomirandar,8.4M,1.3M,212.7K,605,2.7K
nicolebernaal,4M,2.2M,351.3K,957,195
bellaretamosa,5.1M,2.5M,340.4K,901,145
tunico80,5.8M,1M,206.8K,2K,2.1K
armon.warren,1.2M,1.9M,300.8K,904,630
soanhvadiephihi,1.6M,2.6M,273.2K,720,530
